GEO_NAME,Income,Gini,Category,Count,right_edges,gini_cdf,gini_original,error_pct,error_pct_squared
Charlottetown,83400,0.344,"$125,000 to $149,999",1120,149999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$150,000 to $199,999",1175,199999,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Charlottetown,83400,0.344,"$200,000 and over",880,Inf,0.3990691465481998,0.344,0.16008472833779022,0.025627120246984096
Egmont,81600,0.294,"Under $5,000",105,5000,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$5,000 to $9,999",75,9999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$10,000 to $14,999",225,14999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$15,000 to $19,999",290,19999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$20,000 to $24,999",1060,24999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$25,000 to $29,999",660,29999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$30,000 to $34,999",810,34999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$35,000 to $39,999",815,39999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$40,000 to $44,999",820,44999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$45,000 to $49,999",720,49999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$50,000 to $59,999",1455,59999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$60,000 to $69,999",1285,69999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$70,000 to $79,999",1175,79999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$80,000 to $89,999",1055,89999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$90,000 to $99,999",950,99999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$100,000 to $124,999",1780,124999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$125,000 to $149,999",1095,149999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$150,000 to $199,999",1060,199999,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Egmont,81600,0.294,"$200,000 and over",650,Inf,0.3669349626327174,0.294,0.24807810419291643,0.0615427457799515
Malpeque,95400,0.286,"Under $5,000",105,5000,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$5,000 to $9,999",50,9999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$10,000 to $14,999",155,14999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$15,000 to $19,999",195,19999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$20,000 to $24,999",570,24999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$25,000 to $29,999",470,29999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$30,000 to $34,999",505,34999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$35,000 to $39,999",610,39999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$40,000 to $44,999",575,44999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$45,000 to $49,999",565,49999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$50,000 to $59,999",1225,59999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$60,000 to $69,999",1140,69999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$70,000 to $79,999",1180,79999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$80,000 to $89,999",1125,89999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$90,000 to $99,999",1080,99999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$100,000 to $124,999",2155,124999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$125,000 to $149,999",1480,149999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$150,000 to $199,999",1545,199999,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Malpeque,95400,0.286,"$200,000 and over",850,Inf,0.3419841993550964,0.286,0.1957489487940434,0.03831765095397302
Acadie--Annapolis,73000,0.304,"Under $5,000",295,5000,0.3656447221967145,0.304,0.2027786914365609,0.04111919770072398
Acadie--Annapolis,73000,0.304,"$5,000 to $9,999",235,9999,0.3656447221967145,0.304,0.2027786914365609,0.04111919770072398
Acadie--Annapolis,73000,0.304,"$10,000 to $14,999",860,14999,0.3656447221967145,0.304,0.2027786914365609,0.04111919770072398
Acadie--Annapolis,73000,0.304,"$15,000 to $19,999",720,19999,0.3656447221967145,0.304,0.2027786914365609,0.04111919770072398
Acadie--Annapolis,73000,0.304,"$20,000 to $24,999",2715,24999,0.3656447221967145,0.304,0.2027786914365609,0.04111919770072398
Acadie--Annapolis,73000,0.304,"$25,000 to $29,999",1560,29999,0.3656447221967145,0.304,0.2027786914365609,0.04111919770072398
Acadie--Annapolis,73000,0.304,"$30,000 to $34,999",1880,34999,0.3656447221967145,0.304,0.2027786914365609,0.04111919770072398
Acadie--Annapolis,73000,0.304,"$35,000 to $39,999",2035,39999,0.3656447221967145,0.304,0.2027786914365609,0.04111919770072398
