FED,Province_Territory,All_Households,Under_5000,5000_9999,10000_14999,15000_19999,20000_24999,25000_29999,30000_39999,40000_and_over,Avg_Income,Median_Income,SE_Avg_Income,Avg_Value_Dwelling,Less_than_Grade9,Grades9_13_no_cert,Grades9_13_with_cert,Trades_cert,Other_nonuniv_no_cert,Other_nonuniv_with_cert,Univ_no_degree,Univ_with_degree
Halifax West (Ouest),Nova Scotia,33350,1845,3920,4020,4670,5445,4385,5355,4595,24971,22733,179,58482,9750,24230,6975,2590,3675,14595,8100,8205
South Shore,Nova Scotia,25685,2160,4605,4505,4280,3565,2580,2390,1530,16862,18128,173,38709,17620,19475,4205,1760,1750,8145,3155,2395
New Brunswick - Nouveau-Brunswick,New Brunswick,,,,,,,,,,,,,38610,,,,,,,,
South West Nova,Nova Scotia,23135,2295,4950,4580,3650,2820,1765,1840,1230,17719,14682,186,36103,15245,18320,3915,1900,2015,7045,3190,2405
Carleton-Charlotte,New Brunswick,21250,2125,4105,3825,3310,2705,2075,1915,1175,18234,15727,179,34107,14045,14560,5190,1320,1710,6890,3140,2170
Fundy-Royal,New Brunswick,26635,2250,4050,3855,3840,4260,3010,3710,2455,21455,19244,179,41522,14625,19795,7240,2100,2125,8895,4460,3635
Gloucester,New Brunswick,19570,1835,3535,3235,3120,2390,1765,1980,1365,19471,16206,208,34791,19915,14100,4890,1310,1265,4900,2910,2620
Madawaska-Victoria,New Brunswick,17185,1890,3535,3110,2650,2095,1530,1460,810,17185,15084,207,36742,14110,10395,6010,965,1310,4340,2905,1965
Moncton,New Brunswick,30010,2740,4115,4350,4355,4260,3350,4140,2710,21380,19382,187,44218,13990,19845,7895,1480,3455,10795,6595,5050
Northumberland-Miramichi,New Brunswick,15725,1605,3070,2920,2700,1870,1400,1410,750,17783,15476,200,31126,13315,12700,3940,1160,1045,4610,2030,1500
Restigouche,New Brunswick,15665,1390,2595,2670,2330,2135,1655,1675,1205,19056,17450,232,35485,13455,11315,4095,1085,1130,4925,2175,1755
Saint John (Saint-Jean),New Brunswick,23600,2145,3885,3560,3190,2590,2495,3055,2290,18495,18495,216,44621,11670,15675,5950,1810,2360,6625,4335,3175
Westmorland-Kent,New Brunswick,17770,1410,3440,3275,2970,2305,1695,1595,955,18486,16030,202,32952,16790,12025,4215,1055,1305,4690,2545,2055
York-Sunbury,New Brunswick,27500,1955,3590,3915,4020,4095,3290,3930,2705,22340,20292,185,46253,12035,17370,7045,1710,2290,9325,6555,7195
Quebec,Quebec,2172855,204925,302025,286630,292345,285890,231150,298425,271460,23869,20007,29,51887,,,,,,,,
Abitibi,Quebec,29465,2715,3335,3180,4010,4440,3410,4260,4125,23954,21523,209,39025,23290,18145,10600,4020,3555,6900,2885,2675
Argenteuil-Papineau,Quebec,22050,2165,3765,3550,3110,2545,1810,2465,1810,19917,17126,204,43731,17225,11770,8465,2485,2695,4920,2195,2055
Beauce,Quebec,23865,2005,3595,3755,3895,3295,2225,2700,1995,20471,17735,202,36972,21210,13095,9910,3185,2585,5805,1810,2120
Beauharnois-Salaberry,Quebec,25690,2330,4080,3710,3415,3510,2785,3295,2330,20644,18466,184,44338,18340,13605,9485,2480,4020,7030,2540,2255
Bellechasse,Quebec,23550,2345,4445,4300,3745,2920,1770,2245,1805,19090,15801,200,35312,25510,10795,9050,3355,2735,6365,1685,1825
Berthier-Maskinongé-Lanaudière,Quebec,22750,2310,4310,3885,3350,3075,2065,2245,1590,18969,16077,198,38550,20435,11350,8805,2750,2940,5790,1750,1375
Blainville-Deux-Montagnes,Quebec,34970,2225,3445,3505,4340,5265,4515,5330,6734,25576,23639,181,51287,18045,17405,15840,3335,5965,11035,5295,4745
Bonaventure-Îles-de-la-Madeleine,Quebec,16430,1345,3200,2895,2215,2080,1555,1705,1445,19922,16526,234,33566,15700,9605,7110,2615,1960,4400,1785,1320
Bourassa,Quebec,34725,3460,5265,4810,4920,4885,3705,4370,3295,20965,18752,161,65861,22655,15910,14115,3025,6065,9495,4125,2485
Chambly,Quebec,33905,2110,4105,3825,5050,4885,4700,6450,2000,25143,25143,197,50503,17185,18280,15325,3030,6310,11535,5140,5235
Champlain,Quebec,25550,2635,4105,3825,3335,3805,2835,3100,2000,20150,18479,182,39063,16840,11485,11415,3500,4040,9065,2545,2275
Charlesbourg,Quebec,40555,2110,3325,3680,5385,5665,5360,8245,6775,26791,25080,153,52389,18370,17890,22000,4750,7740,15645,5600,7745
Charlevoix,Quebec,20260,1540,3040,3055,2930,2905,1935,2665,2475,21635,19209,214,35869,18060,12250,8690,3225,2735,6135,1865,1820
Châteauguay,Quebec,27760,1715,2725,3725,3835,4135,3755,5030,3895,24754,23398,179,44478,15370,15425,13085,2740,4755,8890,3795,2605
Chicoutimi,Quebec,20350,2060,2275,2275,3070,3060,2255,2785,2475,22740,20608,283,45688,11210,9745,8890,4465,3300,7350,3405,3405
Dollard,Quebec,36970,1825,1850,3705,4325,4535,4410,6970,8340,29322,26123,213,76584,10825,16075,13485,1910,7570,11495,11505,12050
Drummond,Quebec,24725,2635,4110,3505,3715,3540,2210,2385,2025,17002,17002,211,40215,17305,11455,9415,3060,4180,7100,2145,2285
Duvernay,Quebec,31195,1390,2350,2350,3410,4045,5910,6505,6505,26411,28750,212,56503,14840,15620,15640,3380,7300,11490,5870,5230
