FED,Province_Territory,All_Households,Avg_Income,Median_Income,SE_Avg_Income,Income,Count,right_edges,fit,warn,gini,fed_avg_income,fed_median_income
Gloucester,New Brunswick,19570,19471,16206,208,X5000_9999,3535,9999,,FALSE,0.37920068010771557,19471,16206
Gloucester,New Brunswick,19570,19471,16206,208,X10000_14999,3235,14999,,FALSE,0.37920068010771557,19471,16206
Gloucester,New Brunswick,19570,19471,16206,208,X15000_19999,3120,19999,,FALSE,0.37920068010771557,19471,16206
Gloucester,New Brunswick,19570,19471,16206,208,X20000_24999,2390,24999,,FALSE,0.37920068010771557,19471,16206
Gloucester,New Brunswick,19570,19471,16206,208,X25000_29999,1765,29999,,FALSE,0.37920068010771557,19471,16206
Gloucester,New Brunswick,19570,19471,16206,208,X30000_39999,1980,39999,,FALSE,0.37920068010771557,19471,16206
Gloucester,New Brunswick,19570,19471,16206,208,X40000_and_over,1365,Inf,,FALSE,0.37920068010771557,19471,16206
Madawaska-Victoria,New Brunswick,17185,17185,15084,207,Under_5000,1890,5000,,FALSE,0.3602058850892883,17185,15084
Madawaska-Victoria,New Brunswick,17185,17185,15084,207,X5000_9999,3535,9999,,FALSE,0.3602058850892883,17185,15084
Madawaska-Victoria,New Brunswick,17185,17185,15084,207,X10000_14999,3110,14999,,FALSE,0.3602058850892883,17185,15084
Madawaska-Victoria,New Brunswick,17185,17185,15084,207,X15000_19999,2650,19999,,FALSE,0.3602058850892883,17185,15084
Madawaska-Victoria,New Brunswick,17185,17185,15084,207,X20000_24999,2095,24999,,FALSE,0.3602058850892883,17185,15084
Madawaska-Victoria,New Brunswick,17185,17185,15084,207,X25000_29999,1530,29999,,FALSE,0.3602058850892883,17185,15084
Madawaska-Victoria,New Brunswick,17185,17185,15084,207,X30000_39999,1460,39999,,FALSE,0.3602058850892883,17185,15084
Madawaska-Victoria,New Brunswick,17185,17185,15084,207,X40000_and_over,810,Inf,,FALSE,0.3602058850892883,17185,15084
Moncton,New Brunswick,30010,21380,19382,187,Under_5000,2740,5000,,FALSE,0.3590018186023298,21380,19382
Moncton,New Brunswick,30010,21380,19382,187,X5000_9999,4115,9999,,FALSE,0.3590018186023298,21380,19382
Moncton,New Brunswick,30010,21380,19382,187,X10000_14999,4350,14999,,FALSE,0.3590018186023298,21380,19382
Moncton,New Brunswick,30010,21380,19382,187,X15000_19999,4355,19999,,FALSE,0.3590018186023298,21380,19382
Moncton,New Brunswick,30010,21380,19382,187,X20000_24999,4260,24999,,FALSE,0.3590018186023298,21380,19382
Moncton,New Brunswick,30010,21380,19382,187,X25000_29999,3350,29999,,FALSE,0.3590018186023298,21380,19382
Moncton,New Brunswick,30010,21380,19382,187,X30000_39999,4140,39999,,FALSE,0.3590018186023298,21380,19382
